"T_c (C)";"q_dot_in (MW)";"q_dot_solar (MW)";"q_dot_out (MW)";"T_amb (°C)";"I (W/m2)";"phi (eur/Wh)"
363.8503954728;0.8119;0.0000;0.7867;23.9;0;0.0000
359.3329863003;0.8111;0.0000;0.7760;23.3;0;0.0000
357.1089241451;0.8084;0.0000;0.7732;21.1;0;0.0000
356.0025430281;0.8070;0.0000;0.7718;20;0;0.0000
355.4001658288;0.8062;0.0000;0.7710;19.4;0;0.0000
354.9305311819;0.8056;0.0000;0.7705;18.9;0;0.0000
354.393572084;0.8049;0.0000;0.7699;18.3;0;0.0000
353.9319490005;0.8042;0.0000;0.7693;17.8;0;0.0000
352.9871159714;0.8029;0.0000;0.7683;16.7;0;0.0000
352.8942308225;0.8029;0.0000;0.7681;16.7;0;0.0000
352.8817050901;0.8029;0.0000;0.7681;16.7;0;0.0000
353.1747366368;0.8007;0.0074;0.7710;15;9;0.0000
383.699828674;0.8007;0.1422;0.8475;15;174;4.8924
440.3282889242;0.8049;0.3810;0.9847;18.3;466;1.2731
477.5993259372;0.8091;0.5322;1.0739;21.7;651;0.8645
505.3312752731;0.8133;0.6589;1.1398;25;806;0.7011
504.9682320645;0.8160;0.6303;1.1361;27.2;771;0.7152
495.1978377517;0.8181;0.5657;1.1092;28.9;692;0.7865
468.3561271038;0.8195;0.4177;1.0402;30;511;1.0371
505.8995377889;0.8195;0.6491;1.1349;30;794;0.7259
488.4876185429;0.8195;0.5216;1.0909;30;638;0.8435
491.6686467549;0.8188;0.5543;1.0997;29.4;678;0.8149
421.4662564365;0.8174;0.1905;0.9251;28.3;233;2.1252
434.6106406856;0.8146;0.3049;0.9606;26.1;373;1.5678
368.4372163875;0.8111;0.0000;0.7989;23.3;0;0.0000
358.891592342;0.8098;0.0000;0.7763;22.2;0;0.0000
356.6485705848;0.8077;0.0000;0.7727;20.6;0;0.0000
356.4429044303;0.8077;0.0000;0.7721;20.6;0;0.0000
356.4197817244;0.8077;0.0000;0.7721;20.6;0;0.0000
355.4387668417;0.8062;0.0000;0.7711;19.4;0;0.0000
355.3442577039;0.8062;0.0000;0.7709;19.4;0;0.0000
354.4335157538;0.8049;0.0000;0.7700;18.3;0;0.0000
354.345618738;0.8049;0.0000;0.7698;18.3;0;0.0000
354.3336083805;0.8049;0.0000;0.7697;18.3;0;0.0000
353.4342559882;0.8035;0.0000;0.7688;17.2;0;0.0000
360.0300436869;0.8029;0.0311;0.7861;16.7;38;0.0000
440.3271910595;0.8035;0.3989;0.9860;17.2;488;1.2539
446.8110790555;0.8056;0.3785;1.0001;18.9;463;1.1768
427.6150686237;0.8062;0.2788;0.9515;19.4;341;1.5754
403.8487120458;0.8077;0.1733;0.8908;20.6;212;2.7568
453.3021837407;0.8084;0.4267;1.0136;21.1;522;1.1152
407.090454054;0.8091;0.1684;0.8975;21.7;206;2.5905
496.7897907351;0.8111;0.6581;1.1203;23.3;805;0.7404
462.976496271;0.8119;0.4096;1.0344;23.9;501;1.0288
520.7498838451;0.8111;0.7750;1.1811;23.3;948;0.6188
517.9643376334;0.8091;0.7251;1.1760;21.7;887;0.6239
499.4284654486;0.8062;0.6213;1.1319;19.4;760;0.7029
445.628296998;0.8035;0.3450;0.9993;17.2;422;1.1690
363.5947021601;0.8015;0.0000;0.7964;15.6;0;0.0000
352.5062859204;0.8007;0.0000;0.7693;15;0;0.0000
350.9403163889;0.8000;0.0000;0.7661;14.4;0;0.0000
350.3961783561;0.7993;0.0000;0.7653;13.9;0;0.0000
349.8531617833;0.7986;0.0000;0.7647;13.3;0;0.0000
348.4899866685;0.7966;0.0000;0.7633;11.7;0;0.0000
347.8647245357;0.7958;0.0000;0.7625;11.1;0;0.0000
346.4066645021;0.7937;0.0000;0.7609;9.4;0;0.0000
345.3617011049;0.7923;0.0000;0.7597;8.3;0;0.0000
345.2546588735;0.7923;0.0000;0.7594;8.3;0;0.0000
343.9288898131;0.7903;0.0000;0.7581;6.7;0;0.0000
353.0477619509;0.7895;0.0425;0.7819;6.1;52;0.0000
444.777676886;0.7909;0.4627;1.0097;7.2;566;1.0464
493.5522093763;0.7931;0.6728;1.1303;8.9;823;0.6787
512.902383623;0.7952;0.7570;1.1772;10.6;926;0.5991
522.0927554196;0.7972;0.7987;1.1986;12.2;977;0.5703
526.913275027;0.7986;0.8208;1.2095;13.3;1004;0.5571
529.7862581418;0.8007;0.8298;1.2147;15;1015;0.5530
523.9648659351;0.8021;0.7832;1.1984;16.1;958;0.5776
520.8802278056;0.8021;0.7668;1.1906;16.1;938;0.5893
524.3623413895;0.8035;0.7873;1.1980;17.2;963;0.5802
518.3205359761;0.8035;0.7447;1.1826;17.2;911;0.6037
501.4378418228;0.8021;0.6466;1.1412;16.1;791;0.6751
451.6505309774;0.8007;0.3826;1.0171;15;468;1.0577
362.5968386531;0.7986;0.0000;0.7968;13.3;0;0.0000
349.7054935151;0.7966;0.0000;0.7664;11.7;0;0.0000
347.9597922594;0.7958;0.0000;0.7627;11.1;0;0.0000
346.4130742824;0.7937;0.0000;0.7610;9.4;0;0.0000
344.9522532213;0.7917;0.0000;0.7593;7.8;0;0.0000
344.3130289359;0.7909;0.0000;0.7584;7.2;0;0.0000
343.8356382935;0.7903;0.0000;0.7578;6.7;0;0.0000
343.2950825602;0.7895;0.0000;0.7572;6.1;0;0.0000
342.3382795286;0.7882;0.0000;0.7562;5;0;0.0000
342.2431077473;0.7882;0.0000;0.7560;5;0;0.0000
342.230298852;0.7882;0.0000;0.7559;5;0;0.0000
349.2039722222;0.7868;0.0343;0.7750;3.9;42;0.0000
436.5188754104;0.7895;0.4267;0.9904;6.1;522;1.1397
488.0647697544;0.7923;0.6475;1.1172;8.3;792;0.7046
510.3049540011;0.7972;0.7366;1.1686;12.2;901;0.6163
520.3816174674;0.7993;0.7815;1.1921;13.9;956;0.5828
526.1890189941;0.8021;0.8044;1.2041;16.1;984;0.5694
519.7860601272;0.8035;0.7529;1.1864;17.2;921;0.5978
509.9303229103;0.8062;0.6842;1.1585;19.4;837;0.6498
436.3670486293;0.8077;0.2788;0.9719;20.6;341;1.3945
474.7539990754;0.8077;0.5257;1.0681;20.6;643;0.8791
392.4096436551;0.8091;0.0883;0.8609;21.7;108;4.4223
372.6020492823;0.8077;0.0531;0.8128;20.6;65;45.6256
358.3402652861;0.8049;0.0082;0.7798;18.3;10;0.0000
353.659727511;0.8029;0.0008;0.7700;16.7;1;0.0000
352.0645444079;0.8015;0.0000;0.7674;15.6;0;0.0000
351.411487582;0.8007;0.0000;0.7665;15;0;0.0000
350.8549655476;0.8000;0.0000;0.7659;14.4;0;0.0000
350.7992918372;0.8000;0.0000;0.7657;14.4;0;0.0000
349.8924128874;0.7986;0.0000;0.7648;13.3;0;0.0000
348.9046084705;0.7972;0.0000;0.7637;12.2;0;0.0000
349.7053453336;0.7986;0.0000;0.7643;13.3;0;0.0000
348.879374809;0.7972;0.0000;0.7636;12.2;0;0.0000
348.3936257573;0.7966;0.0000;0.7631;11.7;0;0.0000
347.4424801505;0.7952;0.0000;0.7620;10.6;0;0.0000
349.4441588679;0.7958;0.0074;0.7665;11.1;9;0.0000
349.3941299267;0.7980;0.0000;0.7642;12.8;0;0.0000
467.6383589275;0.7993;0.5608;1.0586;13.9;686;0.8828
500.0027550477;0.8021;0.6679;1.1375;16.1;817;0.6824
513.2752774115;0.8049;0.7227;1.1684;18.3;884;0.6296
519.661240147;0.8062;0.7513;1.1832;19.4;919;0.6072
522.9273806219;0.8077;0.7635;1.1900;20.6;934;0.5988
524.0543855003;0.8098;0.7619;1.1909;22.2;932;0.6006
521.7805640603;0.8098;0.7464;1.1851;22.2;913;0.6099
516.8224112248;0.8105;0.7129;1.1717;22.8;872;0.6337
505.1269630435;0.8084;0.6499;1.1442;21.1;795;0.6816
481.4820839593;0.8070;0.5224;1.0858;20;639;0.8210
418.163316832;0.8042;0.2191;0.9300;17.8;268;1.8208
359.9491403153;0.8015;0.0000;0.7873;15.6;0;0.0000
351.6624004288;0.8000;0.0000;0.7679;14.4;0;0.0000
349.5564449782;0.7980;0.0000;0.7646;12.8;0;0.0000
348.870312791;0.7972;0.0000;0.7636;12.2;0;0.0000
349.2911847625;0.7980;0.0000;0.7639;12.8;0;0.0000
349.7392014174;0.7986;0.0000;0.7644;13.3;0;0.0000
349.3755242208;0.7980;0.0000;0.7641;12.8;0;0.0000
349.7509722661;0.7986;0.0000;0.7645;13.3;0;0.0000
348.8857643993;0.7972;0.0000;0.7637;12.2;0;0.0000
348.3942666524;0.7966;0.0000;0.7631;11.7;0;0.0000
346.4597156927;0.7937;0.0000;0.7611;9.4;0;0.0000
353.3839569558;0.7937;0.0311;0.7786;9.4;38;0.0000
437.4249463546;0.7972;0.4063;0.9850;12.2;497;1.2187
488.5019614369;0.7993;0.6270;1.1112;13.9;767;0.7339
509.8493060152;0.8015;0.7194;1.1631;15.6;880;0.6329
520.5518676551;0.8042;0.7660;1.1876;17.8;937;0.5972
525.5307171438;0.8049;0.7905;1.1996;18.3;967;0.5799
527.9687840091;0.8056;0.8012;1.2050;18.9;980;0.5731
529.210125697;0.8077;0.8003;1.2060;20.6;979;0.5747
527.8225964659;0.8084;0.7881;1.2019;21.1;964;0.5817
523.9487040891;0.8091;0.7603;1.1912;21.7;930;0.5990
511.9633983156;0.8091;0.6851;1.1608;21.7;838;0.6510
473.5232160879;0.8084;0.4692;1.0644;21.1;574;0.8941
400.7859477297;0.8070;0.1349;0.8839;20;165;2.9767
358.8935739449;0.8029;0.0016;0.7832;16.7;2;0.0000
352.5601184192;0.8015;0.0000;0.7687;15.6;0;0.0000
349.6513160738;0.7980;0.0000;0.7648;12.8;0;0.0000
349.3747810677;0.7980;0.0000;0.7641;12.8;0;0.0000
348.4399679854;0.7966;0.0000;0.7632;11.7;0;0.0000
347.4488157343;0.7952;0.0000;0.7621;10.6;0;0.0000
346.3662757837;0.7937;0.0000;0.7608;9.4;0;0.0000
345.8478838229;0.7931;0.0000;0.7602;8.9;0;0.0000
345.7936369248;0.7931;0.0000;0.7600;8.9;0;0.0000
345.7867490831;0.7931;0.0000;0.7600;8.9;0;0.0000
345.2943727241;0.7923;0.0000;0.7595;8.3;0;0.0000
350.8328772364;0.7917;0.0262;0.7741;7.8;32;0.0000
370.2739492665;0.7931;0.1046;0.8216;8.9;128;8.0270
414.0283140066;0.8015;0.2698;0.9224;15.6;330;1.8932
423.8914018586;0.8035;0.2869;0.9450;17.2;351;1.6176
494.1879695179;0.8077;0.6426;1.1171;20.6;786;0.7399
477.4010695033;0.8098;0.4962;1.0728;22.2;607;0.8703
525.1363789113;0.8111;0.7946;1.1922;23.3;972;0.6006
500.0113550445;0.8125;0.5984;1.1271;24.4;732;0.7277
502.3475563142;0.8133;0.6278;1.1322;25;768;0.7177
483.3842718567;0.8133;0.5150;1.0843;25;630;0.8445
485.6013638758;0.8119;0.5445;1.0913;23.9;666;0.8192
488.9846485783;0.8105;0.5665;1.1012;22.8;693;0.7874
445.903310561;0.8077;0.3401;0.9957;20.6;416;1.2176
367.7486912301;0.8056;0.0065;0.8027;18.9;8;0.0000
355.2566413374;0.8042;0.0000;0.7727;17.8;0;0.0000
353.5054372652;0.8035;0.0000;0.7690;17.2;0;0.0000
352.9415153522;0.8029;0.0000;0.7682;16.7;0;0.0000
352.3974459758;0.8021;0.0000;0.7676;16.1;0;0.0000
352.3434857599;0.8021;0.0000;0.7675;16.1;0;0.0000
351.927775661;0.8015;0.0000;0.7671;15.6;0;0.0000
351.8875753583;0.8015;0.0000;0.7670;15.6;0;0.0000
351.3916915261;0.8007;0.0000;0.7665;15;0;0.0000
351.3437108141;0.8007;0.0000;0.7663;15;0;0.0000
351.3371440871;0.8007;0.0000;0.7663;15;0;0.0000
354.025379683;0.8000;0.0139;0.7739;14.4;17;0.0000
394.2398880998;0.8021;0.1856;0.8724;16.1;227;3.2547
427.1395427766;0.8035;0.3139;0.9531;17.2;384;1.5300
492.5508020557;0.8056;0.6377;1.1151;18.9;780;0.7395
465.1510053758;0.8077;0.4365;1.0440;20.6;534;0.9690
476.8889365981;0.8091;0.5150;1.0721;21.7;630;0.8704
479.2101439521;0.8098;0.5183;1.0773;22.2;634;0.8555
475.9883363333;0.8091;0.5011;1.0698;21.7;613;0.8780
432.3900786475;0.8084;0.2788;0.9613;21.1;341;1.4965
441.1651073177;0.8077;0.3507;0.9839;20.6;429;1.2996
393.8206908973;0.8062;0.1234;0.8673;19.4;151;3.7505
417.8366940584;0.8056;0.2649;0.9278;18.9;324;1.8739
380.8875457692;0.8035;0.0858;0.8377;17.2;105;6.6818
355.5148594165;0.8015;0.0008;0.7761;15.6;1;0.0000
350.839851154;0.7993;0.0000;0.7665;13.9;0;0.0000
348.5849470959;0.7966;0.0000;0.7635;11.7;0;0.0000
347.8751042528;0.7958;0.0000;0.7625;11.1;0;0.0000
346.8990606373;0.7944;0.0000;0.7614;10;0;0.0000
346.3108937818;0.7937;0.0000;0.7607;9.4;0;0.0000
345.8405741282;0.7931;0.0000;0.7601;8.9;0;0.0000
344.8913619622;0.7917;0.0000;0.7591;7.8;0;0.0000
344.797442903;0.7917;0.0000;0.7589;7.8;0;0.0000
343.3906858664;0.7895;0.0000;0.7575;6.1;0;0.0000
342.3511200633;0.7882;0.0000;0.7562;5;0;0.0000
346.596770783;0.7868;0.0229;0.7684;3.9;28;0.0000
422.5354990191;0.7895;0.3589;0.9555;6.1;439;1.3797
476.3607840969;0.7937;0.5837;1.0863;9.4;714;0.7824
499.6050130945;0.7958;0.6818;1.1429;11.1;834;0.6596
511.2285367661;0.7980;0.7333;1.1702;12.8;897;0.6149
517.8563836051;0.8007;0.7595;1.1843;15;929;0.5968
521.2102212983;0.8029;0.7701;1.1906;16.7;942;0.5903
522.33345235;0.8049;0.7685;1.1914;18.3;940;0.5921
520.9297448172;0.8062;0.7537;1.1865;19.4;922;0.6020
512.3454511917;0.8070;0.6965;1.1639;20;852;0.6414
459.7390428261;0.8077;0.3965;1.0304;20.6;485;1.0281
428.2113972307;0.8056;0.2771;0.9537;18.9;339;1.5463
377.0504277168;0.8035;0.0638;0.8282;17.2;78;9.2796
355.189000498;0.8021;0.0000;0.7747;16.1;0;0.0000
350.8000433667;0.7993;0.0000;0.7664;13.9;0;0.0000
350.7923011375;0.8000;0.0000;0.7657;14.4;0;0.0000
348.9896196351;0.7972;0.0000;0.7639;12.2;0;0.0000
347.916649762;0.7958;0.0000;0.7626;11.1;0;0.0000
347.8055751578;0.7958;0.0000;0.7623;11.1;0;0.0000
346.8904276525;0.7944;0.0000;0.7614;10;0;0.0000
345.4087251568;0.7923;0.0000;0.7598;8.3;0;0.0000
344.8513189903;0.7917;0.0000;0.7590;7.8;0;0.0000
344.2996797604;0.7909;0.0000;0.7584;7.2;0;0.0000
342.9320000677;0.7889;0.0000;0.7569;5.6;0;0.0000
343.1724448638;0.7889;0.0016;0.7576;5.6;2;0.0000
383.7790748045;0.7931;0.1692;0.8553;8.9;207;3.6767
428.5679814362;0.7980;0.3425;0.9622;12.8;419;1.3941
474.8134389083;0.8015;0.5477;1.0746;15.6;670;0.8382
492.2419776536;0.8049;0.6090;1.1151;18.3;745;0.7378
501.6773635828;0.8077;0.6458;1.1361;20.6;790;0.6972
484.8221408807;0.8091;0.5363;1.0921;21.7;656;0.8089
507.019000429;0.8119;0.6704;1.1454;23.9;820;0.6863
506.1915298455;0.8119;0.6507;1.1433;23.9;796;0.6906
500.39670718;0.8140;0.6090;1.1265;25.6;745;0.7325
485.8573729549;0.8133;0.5306;1.0905;25;649;0.8255
456.8462533936;0.8125;0.3842;1.0184;24.4;470;1.1119
395.1078325393;0.8111;0.1071;0.8656;23.3;131;4.2007
359.9687131723;0.8062;0.0000;0.7825;19.4;0;0.0000
354.8713433469;0.8049;0.0000;0.7711;18.3;0;0.0000
353.073450105;0.8029;0.0000;0.7686;16.7;0;0.0000
352.004487777;0.8015;0.0000;0.7673;15.6;0;0.0000
350.5071382081;0.7993;0.0000;0.7656;13.9;0;0.0000
349.8679763782;0.7986;0.0000;0.7648;13.3;0;0.0000
349.3915621843;0.7980;0.0000;0.7642;12.8;0;0.0000
348.8524925843;0.7972;0.0000;0.7636;12.2;0;0.0000
347.8982723098;0.7958;0.0000;0.7626;11.1;0;0.0000
347.3943724339;0.7952;0.0000;0.7619;10.6;0;0.0000
347.3419181539;0.7952;0.0000;0.7618;10.6;0;0.0000
355.8570278951;0.7931;0.0433;0.7854;8.9;53;0.0000
421.7596072832;0.7966;0.3295;0.9465;11.7;403;1.5265
458.8634782718;0.8007;0.4668;1.0352;15;571;0.9761
474.7345958701;0.8042;0.5207;1.0716;17.8;637;0.8562
453.1912747806;0.8084;0.3834;1.0134;21.1;469;1.1167
486.0883704439;0.8105;0.5698;1.0939;22.8;697;0.8077
486.743926855;0.8125;0.5461;1.0935;24.4;668;0.8145
511.5912179151;0.8146;0.6883;1.1542;26.1;842;0.6740
530.4649836462;0.8168;0.7881;1.2001;27.8;964;0.5972
528.3033922037;0.8168;0.7611;1.1946;27.8;931;0.6059
520.7204198571;0.8174;0.7104;1.1746;28.3;869;0.6408
494.5941411403;0.8168;0.5567;1.1091;27.8;681;0.7831
433.595012694;0.8140;0.2575;0.9587;25.6;315;1.5817
369.3503737827;0.8098;0.0098;0.8026;22.2;12;0.0000
356.7520473305;0.8062;0.0000;0.7744;19.4;0;0.0000
355.4600810358;0.8062;0.0000;0.7712;19.4;0;0.0000
354.9319572616;0.8056;0.0000;0.7705;18.9;0;0.0000
354.3934422804;0.8049;0.0000;0.7699;18.3;0;0.0000
353.9319275019;0.8042;0.0000;0.7693;17.8;0;0.0000
353.395493434;0.8035;0.0000;0.7687;17.2;0;0.0000
352.9336805571;0.8029;0.0000;0.7682;16.7;0;0.0000
352.3969512171;0.8021;0.0000;0.7676;16.1;0;0.0000
351.9348842719;0.8015;0.0000;0.7671;15.6;0;0.0000
352.2968546006;0.8021;0.0000;0.7674;16.1;0;0.0000
350.9407743066;0.8000;0.0000;0.7661;14.4;0;0.0000
403.5538556902;0.8029;0.2281;0.8949;16.7;279;2.4868
465.6442197479;0.8062;0.4970;1.0467;19.4;608;0.9518
484.2745137538;0.8105;0.5502;1.0893;22.8;673;0.8209
493.0105150198;0.8140;0.5788;1.1078;25.6;708;0.7790
510.7811841553;0.8168;0.6720;1.1500;27.8;822;0.6868
508.839628914;0.8188;0.6417;1.1431;29.4;785;0.7058
510.5146234689;0.8209;0.6466;1.1452;31.1;791;0.7059
510.6499885778;0.8209;0.6466;1.1455;31.1;791;0.7051
472.0830714231;0.8223;0.4194;1.0468;32.2;513;1.0194
498.634211475;0.8223;0.5943;1.1137;32.2;727;0.7854
484.1818669932;0.8209;0.4979;1.0786;31.1;609;0.8881
379.3143987143;0.8181;0.0000;0.8192;28.9;0;220.6705
363.6213838449;0.8154;0.0000;0.7826;26.7;0;0.0000
360.6964309959;0.8133;0.0000;0.7773;25;0;0.0000
358.1500857693;0.8098;0.0000;0.7744;22.2;0;0.0000
356.1089445376;0.8070;0.0000;0.7721;20;0;0.0000
354.5163058026;0.8049;0.0000;0.7702;18.3;0;0.0000
353.9473327711;0.8042;0.0000;0.7694;17.8;0;0.0000
352.9885745088;0.8029;0.0000;0.7683;16.7;0;0.0000
352.4041677529;0.8021;0.0000;0.7676;16.1;0;0.0000
351.9355867627;0.8015;0.0000;0.7671;15.6;0;0.0000
351.8883263978;0.8015;0.0000;0.7670;15.6;0;0.0000
350.90125041;0.8000;0.0000;0.7660;14.4;0;0.0000
350.8057324478;0.8000;0.0000;0.7657;14.4;0;0.0000
421.5032690514;0.8015;0.3172;0.9410;15.6;388;1.6403
460.9434480835;0.8062;0.4611;1.0349;19.4;564;1.0010
442.7647734132;0.8105;0.3319;0.9851;22.8;406;1.3108
493.1103198153;0.8146;0.6033;1.1075;26.1;738;0.7817
501.4215767886;0.8168;0.6139;1.1263;27.8;751;0.7395
507.1668987179;0.8188;0.6377;1.1388;29.4;780;0.7152
512.372823033;0.8203;0.6614;1.1505;30.6;809;0.6931
518.413263986;0.8216;0.6916;1.1644;31.7;846;0.6677
526.2441831421;0.8223;0.7366;1.1837;32.2;901;0.6333
517.5184562499;0.8216;0.6769;1.1622;31.7;828;0.6722
492.1216617351;0.8209;0.5314;1.0987;31.1;650;0.8241
380.4395998319;0.8183;0.0000;0.8219;29;0;63.5322
363.7307731483;0.8154;0.0000;0.7828;26.7;0;0.0000
359.3212483493;0.8111;0.0000;0.7760;23.3;0;0.0000
358.0176852055;0.8098;0.0000;0.7741;22.2;0;0.0000
356.9877677178;0.8084;0.0000;0.7729;21.1;0;0.0000
355.4986550751;0.8062;0.0000;0.7713;19.4;0;0.0000
354.0457005295;0.8042;0.0000;0.7696;17.8;0;0.0000
353.0016633733;0.8029;0.0000;0.7684;16.7;0;0.0000
352.4054482582;0.8021;0.0000;0.7676;16.1;0;0.0000
350.9548196176;0.8000;0.0000;0.7661;14.4;0;0.0000
351.3030501526;0.8007;0.0000;0.7662;15;0;0.0000
351.3312668912;0.8007;0.0000;0.7663;15;0;0.0000
351.3358933521;0.8007;0.0000;0.7663;15;0;0.0000
444.0422374213;0.8021;0.4267;0.9967;16.1;522;1.1762
485.1601370895;0.8062;0.5812;1.0958;19.4;711;0.7904
470.6731660694;0.8098;0.4652;1.0558;22.2;569;0.9301
502.0480802761;0.8125;0.6466;1.1322;24.4;791;0.7160
483.5171476866;0.8146;0.5109;1.0833;26.1;625;0.8521
485.8029913985;0.8168;0.5297;1.0869;27.8;648;0.8474
497.9057958661;0.8188;0.5919;1.1154;29.4;724;0.7716
500.0282115318;0.8203;0.5919;1.1193;30.6;724;0.7656
497.7951696923;0.8209;0.5755;1.1130;31.1;704;0.7837
493.4794707207;0.8209;0.5518;1.1021;31.1;675;0.8141
491.9410485855;0.8203;0.5477;1.0988;30.6;670;0.8217
379.9566658452;0.8174;0.0000;0.8215;28.3;0;55.2038
363.2004340214;0.8146;0.0000;0.7823;26.1;0;0.0000
358.8607239862;0.8105;0.0000;0.7755;22.8;0;0.0000
357.0747156326;0.8084;0.0000;0.7731;21.1;0;0.0000
355.9982452235;0.8070;0.0000;0.7718;20;0;0.0000
354.0938413055;0.8042;0.0000;0.7698;17.8;0;0.0000
352.5180833509;0.8021;0.0000;0.7679;16.1;0;0.0000
351.9501584561;0.8015;0.0000;0.7671;15.6;0;0.0000
350.9088286096;0.8000;0.0000;0.7660;14.4;0;0.0000
349.9068720767;0.7986;0.0000;0.7649;13.3;0;0.0000
349.3969535178;0.7980;0.0000;0.7642;12.8;0;0.0000
349.3439796265;0.7980;0.0000;0.7641;12.8;0;0.0000
348.4370738649;0.7966;0.0000;0.7632;11.7;0;0.0000
448.2350696895;0.8007;0.4537;1.0086;15;555;1.1012
493.1691923199;0.8042;0.6319;1.1181;17.8;773;0.7293
512.1988009348;0.8070;0.7129;1.1635;20;872;0.6420
522.074376632;0.8105;0.7529;1.1851;22.8;921;0.6111
523.6370262131;0.8140;0.7447;1.1855;25.6;911;0.6162
518.1647259283;0.8146;0.7063;1.1709;26.1;864;0.6425
515.5315373695;0.8181;0.6810;1.1607;28.9;833;0.6682
522.8999937097;0.8195;0.7259;1.1780;30;888;0.6385
505.0235850482;0.8203;0.6058;1.1319;30.6;741;0.7345
479.5566965219;0.8209;0.4684;1.0670;31.1;573;0.9301
478.4845733815;0.8195;0.4831;1.0657;30;591;0.9299
377.2455062942;0.8160;0.0000;0.8161;27.2;0;2008.8670
361.1419938976;0.8119;0.0000;0.7798;23.9;0;0.0000
357.7657805896;0.8091;0.0000;0.7741;21.7;0;0.0000
356.0654994051;0.8070;0.0000;0.7720;20;0;0.0000
354.5102013247;0.8049;0.0000;0.7702;18.3;0;0.0000
353.4567823774;0.8035;0.0000;0.7689;17.2;0;0.0000
352.4510411913;0.8021;0.0000;0.7677;16.1;0;0.0000
351.4513301582;0.8007;0.0000;0.7666;15;0;0.0000
350.8605778968;0.8000;0.0000;0.7659;14.4;0;0.0000
350.7998532824;0.8000;0.0000;0.7657;14.4;0;0.0000
350.3831780552;0.7993;0.0000;0.7653;13.9;0;0.0000
349.8521107751;0.7986;0.0000;0.7647;13.3;0;0.0000
354.3240253721;0.7972;0.0237;0.7774;12.2;29;0.0000
412.148190809;0.8000;0.2747;0.9192;14.4;336;1.9199
427.9664299867;0.8021;0.3115;0.9565;16.1;381;1.4822
430.9731502055;0.8035;0.3139;0.9627;17.2;384;1.4380
373.2626140743;0.8056;0.0384;0.8165;18.9;47;20.9403
359.4252359824;0.8077;0.0049;0.7797;20.6;6;0.0000
375.4079384768;0.8091;0.0785;0.8184;21.7;96;24.6466
471.9492734288;0.8111;0.5330;1.0577;23.3;652;0.9285
433.6497558411;0.8140;0.2690;0.9589;25.6;329;1.5802
499.6678633875;0.8154;0.6458;1.1233;26.7;790;0.7435
430.9064345447;0.8140;0.2395;0.9520;25.6;293;1.6587
399.9791908905;0.8119;0.1431;0.8770;23.9;175;3.5141
362.9769626179;0.8098;0.0000;0.7866;22.2;0;0.0000
355.1695849922;0.8049;0.0000;0.7718;18.3;0;0.0000
353.1103506225;0.8029;0.0000;0.7687;16.7;0;0.0000
351.5176104224;0.8007;0.0000;0.7668;15;0;0.0000
350.8687908428;0.8000;0.0000;0.7659;14.4;0;0.0000
350.3917770577;0.7993;0.0000;0.7653;13.9;0;0.0000
350.3436551967;0.7993;0.0000;0.7652;13.9;0;0.0000
350.3374027441;0.7993;0.0000;0.7652;13.9;0;0.0000
349.4370424688;0.7980;0.0000;0.7643;12.8;0;0.0000
349.3498178297;0.7980;0.0000;0.7641;12.8;0;0.0000
348.8468744509;0.7972;0.0000;0.7636;12.2;0;0.0000
349.289050373;0.7980;0.0000;0.7639;12.8;0;0.0000
356.5038132954;0.7972;0.0335;0.7829;12.2;41;0.0000
378.7868496548;0.7980;0.1259;0.8380;12.8;154;5.7188
358.1226551825;0.7993;0.0180;0.7848;13.9;22;0.0000
451.0208412245;0.8015;0.4611;1.0148;15.6;564;1.0730
503.1377145421;0.8042;0.6908;1.1433;17.8;845;0.6750
497.6531771583;0.8062;0.6188;1.1274;19.4;757;0.7127
476.6698420316;0.8084;0.4954;1.0723;21.1;606;0.8673
475.5808623925;0.8098;0.4987;1.0682;22.2;610;0.8857
496.4386031674;0.8105;0.6164;1.1200;22.8;754;0.7395
459.7497891752;0.8105;0.3981;1.0277;22.8;487;1.0541
467.9229250532;0.8098;0.4676;1.0489;22.2;572;0.9570
470.2238215596;0.8077;0.4807;1.0567;20.6;588;0.9194
368.8096946151;0.8042;0.0000;0.8068;17.8;0;90.4050
353.0396943505;0.8007;0.0000;0.7706;15;0;0.0000
350.9942317794;0.8000;0.0000;0.7662;14.4;0;0.0000
350.809530543;0.8000;0.0000;0.7657;14.4;0;0.0000
350.792653646;0.8000;0.0000;0.7657;14.4;0;0.0000
350.7913162464;0.8000;0.0000;0.7657;14.4;0;0.0000
350.7912229206;0.8000;0.0000;0.7657;14.4;0;0.0000
350.7912170851;0.8000;0.0000;0.7657;14.4;0;0.0000
350.1370153166;0.7990;0.0000;0.7651;13.6;0;0.0000
349.4192565806;0.7980;0.0000;0.7643;12.8;0;0.0000
348.8561856432;0.7972;0.0000;0.7636;12.2;0;0.0000
347.8986333858;0.7958;0.0000;0.7626;11.1;0;0.0000
363.8063137448;0.7952;0.0719;0.8033;10.6;88;28.4406
451.310638001;0.7980;0.4692;1.0190;12.8;574;1.0354
492.363295263;0.8015;0.6344;1.1188;15.6;776;0.7213
496.4305218841;0.8049;0.6229;1.1257;18.3;762;0.7134
513.8448328437;0.8077;0.7194;1.1669;20.6;880;0.6373
520.697351235;0.8111;0.7407;1.1809;23.3;906;0.6190
