"T_c (C)";"q_dot_in (MW)";"q_dot_solar (MW)";"q_dot_out (MW)";"T_amb (°C)";"I (W/m2)";"phi (eur/Wh)"
342.2423954904;0.7882;0.0000;0.7560;5;0;0.0000
341.7377554099;0.7874;0.0000;0.7554;4.4;0;0.0000
342.2521008682;0.7874;0.0025;0.7567;4.4;3;0.0000
343.3740245722;0.7882;0.0049;0.7588;5;6;0.0000
346.6544640094;0.7895;0.0147;0.7657;6.1;18;0.0000
473.7464063743;0.7931;0.6156;1.0803;8.9;753;0.7969
363.3399851976;0.7923;0.0041;0.8050;8.3;5;18.0913
356.7717797835;0.7923;0.0425;0.7885;8.3;52;0.0000
349.0795832433;0.7923;0.0106;0.7691;8.3;13;0.0000
347.1147377268;0.7931;0.0041;0.7634;8.9;5;0.0000
346.5030515096;0.7931;0.0025;0.7618;8.9;3;0.0000
370.4558054697;0.7917;0.1120;0.8234;7.8;137;7.2141
346.7150377886;0.7895;0.0000;0.7659;6.1;0;0.0000
343.5742859081;0.7895;0.0000;0.7579;6.1;0;0.0000
345.556049088;0.7931;0.0000;0.7594;8.9;0;0.0000
345.7538887029;0.7931;0.0000;0.7599;8.9;0;0.0000
345.7828322438;0.7931;0.0000;0.7600;8.9;0;0.0000
345.2940607351;0.7923;0.0000;0.7595;8.3;0;0.0000
345.2464900796;0.7923;0.0000;0.7594;8.3;0;0.0000
344.830072063;0.7917;0.0000;0.7590;7.8;0;0.0000
343.8875921338;0.7903;0.0000;0.7580;6.7;0;0.0000
342.8919024777;0.7889;0.0000;0.7568;5.6;0;0.0000
341.396053778;0.7868;0.0000;0.7552;3.9;0;0.0000
340.3432573581;0.7854;0.0000;0.7539;2.8;0;0.0000
339.7421198843;0.7846;0.0000;0.7532;2.2;0;0.0000
339.6798734452;0.7846;0.0000;0.7530;2.2;0;0.0000
408.1399394303;0.7854;0.3057;0.9237;2.8;374;1.6555
471.3794598195;0.7895;0.5772;1.0779;6.1;706;0.7939
496.5818437365;0.7923;0.6777;1.1388;8.3;829;0.6607
506.5264028293;0.7931;0.7219;1.1632;8.9;883;0.6184
512.0785270727;0.7931;0.7513;1.1773;8.9;919;0.5957
513.3862683482;0.7972;0.7415;1.1764;12.2;907;0.6036
509.9728708485;0.7986;0.7145;1.1664;13.3;874;0.6224
489.5360575895;0.7986;0.5919;1.1146;13.3;724;0.7243
473.2258051893;0.7980;0.5142;1.0741;12.8;629;0.8290
388.1009961992;0.7944;0.1120;0.8647;10;137;3.2568
350.2400789201;0.7923;0.0000;0.7720;8.3;0;0.0000
343.8970951561;0.7895;0.0000;0.7588;6.1;0;0.0000
341.9001251862;0.7874;0.0000;0.7559;4.4;0;0.0000
341.706821328;0.7874;0.0000;0.7554;4.4;0;0.0000
341.6834706406;0.7874;0.0000;0.7553;4.4;0;0.0000
340.7780914938;0.7860;0.0000;0.7544;3.3;0;0.0000
340.6897873354;0.7860;0.0000;0.7542;3.3;0;0.0000
339.3632262682;0.7840;0.0000;0.7528;1.7;0;0.0000
340.1374239913;0.7854;0.0000;0.7534;2.8;0;0.0000
340.2079156601;0.7854;0.0000;0.7536;2.8;0;0.0000
339.3145266145;0.7840;0.0000;0.7527;1.7;0;0.0000
339.6381677589;0.7846;0.0000;0.7529;2.2;0;0.0000
339.6662401532;0.7846;0.0000;0.7530;2.2;0;0.0000
340.1634922637;0.7854;0.0000;0.7535;2.8;0;0.0000
341.7155043848;0.7854;0.0065;0.7574;2.8;8;0.0000
422.1926596933;0.7874;0.3662;0.9567;4.4;448;1.3519
492.8758091693;0.7917;0.6867;1.1300;7.8;840;0.6766
508.7008262087;0.7944;0.7325;1.1673;10;896;0.6139
512.9344019071;0.7980;0.7382;1.1745;12.8;903;0.6079
505.9369590795;0.7993;0.6867;1.1554;13.9;840;0.6429
493.0646746755;0.7986;0.6156;1.1235;13.3;753;0.7045
481.4103341906;0.7986;0.5559;1.0941;13.3;680;0.7746
478.4556342897;0.8000;0.5420;1.0852;14.4;663;0.8024
408.7416794508;0.7952;0.2019;0.9154;10.6;247;1.9037
352.0363131942;0.7909;0.0000;0.7779;7.2;0;0.0000
344.9755687475;0.7909;0.0000;0.7601;7.2;0;0.0000
341.5865468029;0.7868;0.0000;0.7557;3.9;0;0.0000
340.7759300304;0.7860;0.0000;0.7544;3.3;0;0.0000
340.2771572289;0.7854;0.0000;0.7538;2.8;0;0.0000
340.6372927885;0.7860;0.0000;0.7540;3.3;0;0.0000
341.5741367831;0.7874;0.0000;0.7550;4.4;0;0.0000
342.6520271961;0.7889;0.0000;0.7562;5.6;0;0.0000
342.7606222676;0.7889;0.0000;0.7565;5.6;0;0.0000
340.8870908782;0.7860;0.0000;0.7547;3.3;0;0.0000
340.2936329658;0.7854;0.0000;0.7538;2.8;0;0.0000
342.5272102754;0.7889;0.0000;0.7559;5.6;0;0.0000
342.2508917555;0.7882;0.0000;0.7560;5;0;0.0000
343.1355978296;0.7895;0.0000;0.7568;6.1;0;0.0000
425.5983576763;0.7909;0.3720;0.9617;7.2;455;1.3402
488.675593809;0.7937;0.6532;1.1174;9.4;799;0.7072
499.0448504995;0.7958;0.6704;1.1414;11.1;820;0.6623
432.1808254661;0.7986;0.2910;0.9706;13.3;356;1.3311
440.8490581852;0.7980;0.3785;0.9928;12.8;463;1.1746
465.4286724258;0.7986;0.4987;1.0538;13.3;610;0.8968
395.5173394309;0.7993;0.1357;0.8784;13.9;166;2.8968
409.37890387;0.8000;0.2403;0.9123;14.4;294;2.0379
396.5410896247;0.7993;0.1733;0.8809;13.9;212;2.8062
373.4512750947;0.7958;0.0867;0.8268;11.1;106;7.3960
349.5239635793;0.7937;0.0000;0.7688;9.4;0;0.0000
346.1440929934;0.7931;0.0000;0.7609;8.9;0;0.0000
345.3248881367;0.7923;0.0000;0.7596;8.3;0;0.0000
345.7404934896;0.7931;0.0000;0.7599;8.9;0;0.0000
344.878042937;0.7917;0.0000;0.7591;7.8;0;0.0000
343.4020580676;0.7895;0.0000;0.7575;6.1;0;0.0000
343.2548360318;0.7895;0.0000;0.7571;6.1;0;0.0000
342.3324284628;0.7882;0.0000;0.7562;5;0;0.0000
342.242509859;0.7882;0.0000;0.7560;5;0;0.0000
342.230250109;0.7882;0.0000;0.7559;5;0;0.0000
340.8333837765;0.7860;0.0000;0.7545;3.3;0;0.0000
340.2864348241;0.7854;0.0000;0.7538;2.8;0;0.0000
340.2275937938;0.7854;0.0000;0.7536;2.8;0;0.0000
340.6308974266;0.7860;0.0000;0.7540;3.3;0;0.0000
399.7013172474;0.7854;0.2657;0.9026;2.8;325;1.9526
470.3347403536;0.7895;0.5763;1.0752;6.1;705;0.8012
497.4494250684;0.7931;0.6810;1.1402;8.9;833;0.6594
508.7885427341;0.7966;0.7235;1.1654;11.7;885;0.6206
514.2649701321;0.7980;0.7472;1.1779;12.8;914;0.6024
515.6267596393;0.8000;0.7456;1.1793;14.4;912;0.6034
513.6356575505;0.8015;0.7268;1.1728;15.6;889;0.6165
504.9560531666;0.8021;0.6712;1.1501;16.1;821;0.6578
479.3072573897;0.8015;0.5273;1.0859;15.6;645;0.8048
397.3476124206;0.7972;0.1431;0.8850;12.2;175;2.6061
353.2618217302;0.7952;0.0000;0.7767;10.6;0;0.0000
346.0010435794;0.7923;0.0000;0.7613;8.3;0;0.0000
345.3095984229;0.7923;0.0000;0.7595;8.3;0;0.0000
343.4408710507;0.7895;0.0000;0.7576;6.1;0;0.0000
341.8650275561;0.7874;0.0000;0.7558;4.4;0;0.0000
341.2939833477;0.7868;0.0000;0.7549;3.9;0;0.0000
341.2327913773;0.7868;0.0000;0.7548;3.9;0;0.0000
340.3218541526;0.7854;0.0000;0.7539;2.8;0;0.0000
339.7400416952;0.7846;0.0000;0.7532;2.2;0;0.0000
339.2688527555;0.7840;0.0000;0.7526;1.7;0;0.0000
339.6317402932;0.7846;0.0000;0.7529;2.2;0;0.0000
338.7616107332;0.7833;0.0000;0.7521;1.1;0;0.0000
339.582198591;0.7846;0.0000;0.7528;2.2;0;0.0000
340.1517936901;0.7854;0.0000;0.7534;2.8;0;0.0000
364.1074552691;0.7874;0.0989;0.8118;4.4;121;9.3938
390.7697902086;0.7903;0.1970;0.8755;6.7;241;2.6866
419.3136497005;0.7944;0.3041;0.9426;10;372;1.5455
391.1836158713;0.7966;0.1504;0.8703;11.7;184;3.1051
392.4701142209;0.8000;0.1635;0.8701;14.4;200;3.2621
481.6454354036;0.8015;0.6082;1.0918;15.6;744;0.7885
485.232464349;0.8021;0.5723;1.1002;16.1;700;0.7679
474.0949365485;0.8029;0.5060;1.0714;16.7;619;0.8525
410.9633660672;0.8015;0.1970;0.9147;15.6;241;2.0209
381.8647355664;0.7980;0.1112;0.8457;12.8;136;4.7974
351.0069870319;0.7944;0.0000;0.7718;10;0;0.0000
347.19169229;0.7944;0.0000;0.7622;10;0;0.0000
345.0172842634;0.7917;0.0000;0.7594;7.8;0;0.0000
343.9103621481;0.7903;0.0000;0.7580;6.7;0;0.0000
342.8940466864;0.7889;0.0000;0.7568;5.6;0;0.0000
342.2991638241;0.7882;0.0000;0.7561;5;0;0.0000
342.7300551281;0.7889;0.0000;0.7564;5.6;0;0.0000
343.6725260379;0.7903;0.0000;0.7574;6.7;0;0.0000
343.7662317572;0.7903;0.0000;0.7577;6.7;0;0.0000
344.1889635038;0.7909;0.0000;0.7581;7.2;0;0.0000
344.722074655;0.7917;0.0000;0.7587;7.8;0;0.0000
344.2835854998;0.7909;0.0000;0.7583;7.2;0;0.0000
344.7348018464;0.7917;0.0000;0.7587;7.8;0;0.0000
345.1866436463;0.7923;0.0000;0.7592;8.3;0;0.0000
372.8891953666;0.7937;0.1177;0.8275;9.4;144;6.7713
457.9421371904;0.7972;0.5011;1.0364;12.2;613;0.9569
474.0558899055;0.8029;0.5207;1.0713;16.7;637;0.8528
484.0964336764;0.8035;0.5673;1.0959;17.2;694;0.7827
505.5319355396;0.8042;0.6867;1.1494;17.8;840;0.6632
517.5764926212;0.8042;0.7496;1.1800;17.8;917;0.6092
516.7841384021;0.8042;0.7366;1.1780;17.8;901;0.6125
506.8306240845;0.8029;0.6785;1.1541;16.7;830;0.6517
485.9365758889;0.8007;0.5665;1.1034;15;693;0.7564
419.2805344538;0.7966;0.2436;0.9403;11.7;298;1.5922
356.1595176334;0.7952;0.0000;0.7840;10.6;0;0.0000
346.7728389955;0.7931;0.0000;0.7625;8.9;0;0.0000
345.379447633;0.7923;0.0000;0.7597;8.3;0;0.0000
343.9410555008;0.7903;0.0000;0.7581;6.7;0;0.0000
